Project No,Total A1-A5w,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Storeys,Grid_X,Grid_Y,Bays_X,"Typology_CLT, Glulam and Steel Column Hybrid",Typology_Composite Cell Beams with Metal Decking,Typology_Composite Rolled Steel with Metal Decking,Typology_Non-Composite Rolled Steel with PCC Planks,Typology_One-Way Spanning RC,Typology_PT RC Flat Slab,Typology_Precast Hollowcore with In-situ RC Beams,Typology_RC Flat Slab,Typology_RC Rib Slab,Typology_Steel Frame with CLT Slabs,Typology_Two-way RC Slab,Building Use_Education,Building Use_Healthcare,Building Use_Office,Building Use_Residential,Has Basement_No,Has Basement_Yes,Has Transfer Deck_No,Has Transfer Deck_Yes
108,13862.181095143744,36624162.8564,52992.0,73282264.10462146,256.3691399945545,266.4279558261304,22,8,8,3.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
109,14942.746874170332,45051475.9468,52992.0,82092824.35942215,315.36033162792035,287.9322766794658,22,8,8,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
110,7423.269670016809,17423199.8158,22176.0,35464216.700145505,121.96239871049184,340.2431488423205,11,12,12,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
111,6355.078753850365,16028231.6649,22176.0,25593490.915566083,112.1976216545342,291.6340356919597,11,12,12,4.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
112,7872.104008139732,21956033.9418,22176.0,28488386.76759525,153.6922375928976,361.9136113696172,11,12,12,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
113,6495.980709542352,19989091.5386,22176.0,21159041.94250942,139.92364076999664,299.2381110350085,11,12,12,4.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
114,42521.55309222637,107806682.0456,139650.0,154886245.982284,754.6467743191386,309.8904394310456,19,7,7,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
115,46372.92040445985,126150248.9878,139650.0,159372087.74795556,883.0517429147901,338.388629769958,19,7,7,5.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
116,45186.68574531378,137247661.6142,139650.0,133270887.71790116,960.7336312995816,330.4505504949041,19,7,7,5.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
117,37881.576625613685,108998253.6746,139650.0,147985129.49135295,762.9877757224659,276.7244139014404,19,7,7,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
118,16952.576404473777,41234238.88,66150.0,80911702.90021633,288.6396721598145,260.6381870995252,10,7,7,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
119,14084.394652432353,39558862.2163,66150.0,49486794.0948268,276.9120355141187,217.10214191906985,10,7,7,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
120,15108.367317876771,45224046.8918,66150.0,50451199.90088443,316.5683282427387,233.18118890581272,10,7,7,9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
121,11976.605334430187,42553334.0345,66150.0,32174962.7943602,297.87333824168576,185.55523314696708,10,7,7,9.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
122,9738.75264040907,37779376.3409,66150.0,34281125.18051966,264.4556343863615,151.22007973991583,10,7,7,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
